NCT Number,Study Title,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Phases,Start Date,Completion Date,Locations
NCT02798094,Stress Sensitivity and Reward Responsivity in Depression,COMPLETED,"The goal of this project is to learn more about the different ways in which people process information that is stressful and rewarding, and how abnormalities in these two processes are related to depression.",Depressed,,Dr. Kate Harkness,,2015-07,2018-12-31,"Queen's University, Kingston, Ontario, K7L 3N6, Canada"
NCT05232734,CaffeinICU Study - A Study on Oral Caffeine in ICU Patients With Coma,SUSPENDED,"Background:

Depressed Glasgow Coma Scale (GCS) is common among critically ill patient s in the intensive care unit (ICU). It is one of the main reasons that hampers liberation from mechanical ventilation among ICU patients. Caffeine is commonly used in neonates for the treatment of apnea of prematurity. However, its efficacy has not been established in adult population.

Objective:

To find out the efficacy of oral caffeine in shortening duration of mechanical ventilation among adult patients.

Hypothesis:

Oral caffeine is effective as a central nervous system stimulant among adult patients with depressed GCS.

Study design:

Multi-center, randomised, double blind, placebo controlled clinical trial

Population:

Adult patients (≥ 21 years old) with GCS ≤ 8 from any causes (excluding surgically reversible causes) requiring continuation of mechanical ventilation, whom acute medical issues are stable or has resolved but not suitable for extubation solely due to depressed GCS, not planned for any surgical procedures within 24 hours and not on sedative agents for at least 24 hours, will be included in this study. For patients with primary Central Nervous System (CN lesions, neurologist or neurosurgeon approval will be obtained prior to recruitment. The exclusion criteria include known allergy or adverse reactions from caffeine, pregnant women, breast-feeding women, uncontrolled cardiac arrhythmias, uncontrolled hypertension, hyperactive delirium, patients with chronic kidney disease (CKD, any stage) who received midazolam or morphine infusion, patients who received barbiturate coma, patients who are on theophylline, aminophylline or psychotropic agents at the point of screening for recruitment, patients with feed intolerant, short bowel syndrome and active seizures.

Intervention:

Oral caffeine citrate 5mg/kg/dose twice a day (8am, 2pm) vs placebo

Outcomes:

Primary - Duration of mechanical ventilation Secondary - ICU mortality, 30-days mortality, ICU length of stay, blood pressure, heart rate, incidence of arrhythmia, GCS, incidence of re-intubation and need for tracheostomy",Depressed GCS,DRUG: Caffeine Citrate 20 MG/ML Oral Solution,Singapore General Hospital,PHASE2,2022-11-24,2025-12-31,"Singapore General Hospital, Singapore, 169608, Singapore"
NCT06928428,"Metacognitive Therapy for Depression and Generalized Anxiety Disorder in Primary Care, Blended Version of Mediated Treatment",ENROLLING_BY_INVITATION,"The goal of this clinical trial is to investigate a new format of metacognitive therapy (MCT) for primary care patients with depression or generalized anxiety disorder (GAD) called blended MCT (bMCT). What is new about bMCT is that it is given both via the internet and through meetings with a therapist. In this study, we first want to investigate if it is feasible to deliver bMCT in primary health care to patients with depression or GAD. Secondly, we want to investigate whether the format of bMCT can provide as good treatment effects as only personally mediated MCT.

The content of both formats of treatment is based on MCT methods for depression and GAD which have shown to be effective in previous research studies. bMCT means to work with the treatment independently via an internet platform and to meet the therapist for therapy sessions up to 6 times during the course of the treatment. Meetings will take place at the primary care center or via video call. As part of the treatment are mediated via the internet, participants need to have access to an Internet-connected computer/electronic device and be able to work with the material about 3 hours per week during the course of the treatment. Standard MCT involves seeing the therapist for 8-12 treatment sessions at the primary care center or via video call.

In the first study, all patients diagnosed with depression or GAD at Liljeholmen primary care center, after giving informed consent, will receive bMCT. In the second study, more primary health care centers will be involved and participants will be randomly allocated to either bMCT or standard MCT.

The active treatment lasts for 8-12 weeks. The treatment is estimated to involve approximately 3 hours of therapy work per week. Participants will be asked to fill in questionnaires before the treatment, weekly during the treatment, immediately after the treatment (post-treatment) and follow-ups at 6 and 12 months after post-treatment. The forms contain questions about your well-being, background and experience of the treatment. Filling in questionnaires is estimated to take 30 minutes on four measurement occasions. Participating also means giving permission for treatment conversations to be audio recorded. The recording is coded so that independent assessors can examine the therapists' competence, and see that the therapists follow the instructions for the current treatment method.",Depression NOS|Generalized Anxiety Disorder,"BEHAVIORAL: Metacognitive therapy, blended format",Region Stockholm,NA,2025-02-10,2027-12-01,"Liljeholmen primary care center, Academic Primary care center, SLSO, Region Stockholm, Stockholm, Stockholm County, 11794, Sweden"
NCT00296712,Are Two Antidepressants a Good Initial Treatment for Depression?,COMPLETED,Relatively drug naive patients will receive two antidepressant medications as initial treatment.,Major Depression|Dysthymia|Depression NOS,DRUG: escitalopram + bupropion,New York State Psychiatric Institute,PHASE4,2005-02,2006-07,"Depression Evaluation Service - New York State Psychiatric Institute, New York, New York, 10032, United States"
NCT04291547,Computerised Behavioural Activation for Young People With Depression,COMPLETED,The primary aim of this non-randomised feasibility study is to 1) examine the acceptability of a newly developed computerised Behavioural Activation programme (BALM) in treating young people experiencing low mood/depression and 2) assess the feasibility of undertaking a pilot Randomised Controlled Trial (RCT) of the intervention.,Low Mood|Depression,DEVICE: BALM,University of York,NA,2020-06-10,2021-03-31,"Tees Esk and Wear Valleys NHS Foundation Trust, York, United Kingdom"
NCT06740188,Trazodone on NREM Sleep Stage Ⅲ in Depressed Insomniac Co-morbid Patients,RECRUITING,"This study used polysomnographic technology and randomly selected 60 patients who met the diagnostic criteria for depression and non-organic insomnia as stipulated in DSM-5 into an intervention group (n=30) and a control group (n=30). The intervention group was given only 5-hydroxytryptamine balanced antidepressants trazodone, while the control group was given citalopram hydrobromide combined with zolpidem. Both groups underwent PSG at baseline and 1 week after medication, and were assessed with the 17-item Hamilton Depression Rating Scale, Zung Self-Rating Depression Scale, Pittsburgh Sleep Quality Index, Arnsworth Insomnia Severity Scale, Antidepressant Side Effects Checklist, and the Drug Dependence Scale neuropsychological assessment at baseline, 1, 2, and 4 weeks after medication. The study aimed to explore the effects of single use of SMAs class antidepressants versus combination with other antidepressants on non-rapid eye movement sleep stage III in patients with depression and insomnia comorbidity, and to compare the effects of depression and insomnia in the two groups.",Depressed Insomniac Co-morbid Patients,DRUG: 5-hydroxytryptamine balanced antidepressants trazodone|DRUG: Citalopram hydrobromide combined with zolpidem,Tongji University,PHASE4,2025-01-01,2027-12-31,"Tongji University, Shanghai, Shanghai Municipality, 200124, China"
NCT07426536,"Sleep Parenting, Maternal Depression, and Toddler Sleep",COMPLETED,This study examined the relationship between maternal depression and toddler sleep. The moderating role of sleep parenting practices in the relationship was also explored.,Depressed Mood|Toddler Sleep,"DIAGNOSTIC_TEST: Beck Depression Inventory-II, Brief Infant Sleep Questionnaire-Revised, Background data sheet",Chung Shan Medical University,,2022-11-25,2024-01-31,"Chun Shan Medical University, Taichung, 40201, Taiwan"
NCT01367080,A Study to Compare the Pharmacokinetic Profiles of Etravil® Tablet 10mg and Etravil® Tablet 25mg,COMPLETED,To evaluate the pharmacokinetics of single oral dose of Amitriptyline hydrochloride film-coated tablet 10mg \& 25mg,Depression|Depressive State|Enuresis,DRUG: DWETR10|DRUG: DWETR25,Dong Wha Pharmaceutical Co. Ltd.,PHASE1,2011-07,2011-09,"Chonbuk National University Hospital., Jeonju, Jeollabuk-do, 561-712, South Korea"
NCT01536756,Effectiveness of a Structured Physical Rehabilitation Program for Chinese Patients With Depressive Disorders,COMPLETED,"Evidence shows that depression was found to be associated with physical inactivity and on the other hand, high prevalence of depression was also found in patients with chronic pain. Structured physical rehabilitation program with exercises as main component and pain management provided by physiotherapy has been proved by overseas studies to be effective in reducing the psychological symptoms of depression through increasing the physical fitness and relieving the pain. Literatures also reported a strong sociocultural influence on the prevalence of depression and the manifestations of their clinical signs and symptoms in patients suffered from mental health problems between Chinese and Western societies. The benefits of physical rehabilitation program in the management of depression cannot be assumed in the Chinese population. The purpose of this study is to investigate the effectiveness of a structured ""Physical Rehabilitation Program"" for Chinese patients diagnosed with depressive disorder (mild to severe severity) on the physical fitness and negative psychological symptoms of the recruited patients.

The Hypothesis are:

1. The Physical Rehabilitation Program is effective in improving the physical fitness in Chinese patients with depressive disorders.
2. The Physical Rehabilitation Program is effective in alleviating the negative psychological symptoms in Chinese patients with depressive disorders.",Depressive Disorders,OTHER: Exercise Intervention -- Physical Rehabilitation Program|OTHER: Wait List Control Group,"Kowloon Hospital, Hong Kong",NA,2012-02,2015-12-31,"Physiotherapy Department, Kowloon Hospital, Hong Kong, China|Physiotherapy Department, Kwai Chung Hospital, Hong Kong, China"
NCT05061381,Effectiveness of a School Wellbeing Programme for Internalising Problems in Irish Primary School Children,UNKNOWN,The aim of this study is to assess the effectiveness of a school-based multi-component universal programme for the reduction of internalising problems (i.e. anxiety and low mood) in primary school pupils.,Anxiety|Low Mood,BEHAVIORAL: A Lust for Life Schools Programme,University College Dublin,NA,2021-10-11,2022-11-30,"University College Dublin, Dublin, Tipperary, E41 AT10, Ireland"
NCT04959916,Group-based Metacognitive Therapy for Burns and Plastics Patients,UNKNOWN,"Serious burns and other traumatic or disfiguring injuries represent a significant public health burden. Survivors often need intense medical or surgical treatment, including plastic surgery. As well as devastating physical injuries, up to 45% of people develop significant mental health difficulties following a traumatic injury. These difficulties include depression, anxiety and post-traumatic stress disorder (PTSD).

Cognitive Behavioural Therapy (CBT) is the most widely offered treatment within the National Health Service (NHS) and the most common treatment provided for burns and plastics patients. However, CBT is limited in efficacy, time-consuming, and focuses on treating the most distressing problem first.

One way to overcome these limitations is to evaluate a group therapy that can treat multiple mental health problems at once. One such treatment is called Metacognitive Therapy (MCT; Wells 2009). MCT targets metacognitive beliefs (beliefs people hold about their thinking) rather than the content of patients' thoughts (i.e. reality testing), which is advantageous over cognitive therapies as often following a burns or plastics injury patients experience realistic negative thoughts (e.g. thoughts about disfigurement). MCT has been shown to be more effective at treating anxiety and depression in mental health settings than CBT, however, more research is needed to evaluate MCT in physical health settings.

The aim of this study is to examine the acceptability and feasibility of group-MCT within the Department of Burns, Plastics and Reconstructive Surgery at Wythenshawe Hospital. We aim to recruit 20 patients to receive six weekly sessions of group-MCT. Sessions will last approximately 90 minutes. Indicators of feasibility and acceptability will be described including rates of referrals, recruitment, and dropout. Data on symptom outcomes (as measured by the PHQ-9 and GAD-7) at pre and post treatment will be assessed and benchmarked against usual treatment delivered. The data will be used to inform a future large-scale trial on the effectiveness of MCT.",Anxiety|Low Mood,BEHAVIORAL: Group Metacognitive Therapy,University of Manchester,NA,2021-10-01,2022-09,"Department of Burns Plastics and Reconstructive Surgery, Wythenshawe Hospital, Manchester, M23 9LT, United Kingdom"
NCT00226863,Meditation and Hypnosis for Chronic Depressed Mood,COMPLETED,"This study examined whether meditation or group psychotherapy including hypnosis plus education, compared to an educational control, would ameliorate long-term depressed mood.",Long Term Depressed Mood,BEHAVIORAL: meditation plus education|BEHAVIORAL: group psychotherapy with hypnosis plus education|BEHAVIORAL: education,Stanford University,PHASE3,,,
NCT00992147,Safety and Efficacy of Autologous Cultured Adipocytes in Patient With Depressed Scar,COMPLETED,"Autologous cultured adipocytes (ANTG-adip) is produced by well-established techniques including cell harvesting from lipoaspirates, expansion of adipose tissue derived stem cells, and differentiation into pure and immature adipocytes. This was an open-label, dose-escalation study. Patients are given subcutaneous injection of ANTG-adip and followed for 12 weeks according to the clinical trial protocol.",Depressed Scar,DRUG: Adipocell,"Anterogen Co., Ltd.",PHASE2|PHASE3,2004-05,2007-03,"Samsung Medical Center, Seoul, 135-710, South Korea"
NCT02054312,Family Based Interpersonal Psychotherapy (FB-IPT) for Depressed Preadolescents,COMPLETED,"The investigators proposed a preliminary randomized control trial of Family Based Interpersonal Psychotherapy (FB-IPT), a family-based adaptation of Interpersonal Psychotherapy for Depressed Adolescents (IPT-A; Mufson et al., 2000). Forty-five preadolescent children (ages 8-12) diagnosed with a depressive disorder will be randomized to receive a 14-week course of FB-IPT or Client Centered Therapy (CCT), a supportive nondirective psychotherapy that closely approximates treatment at usual in community mental health clinics. In addition to assessing the feasibility and acceptability of randomization and each of the treatment conditions, this project will evaluate the effects of FB-IPT and CCT across multiple domains, including symptomatology and psychosocial functioning. Preadolescents will be assessed prior to treatment, during treatment (Weeks 3, 7, 11), one week post-treatment, and at 3 and 6 months post-treatment to compare changes in depressive symptoms, global, social, and family functioning. Data on psychosocial risk factors associated with onset and recurrence of preadolescent depression will be collected prior to treatment and at specified intervals post-treatment in order to conduct exploratory analyses on correlates of positive and negative treatment outcomes for Family Based IPT. This data will be used to generate future hypotheses about potential mediators and moderators that will be incorporated into an R01 application for an efficacy study of Family Based IPT.",Depressive Disorders,BEHAVIORAL: Family Based Interpersonal Psychotherapy (FB-IPT)|BEHAVIORAL: Client Centered Therapy (CCT),University of Pittsburgh,NA,2010-10,2014-10,"Western Psychiatric Institute & Clinic, Pittsburgh, Pennsylvania, 15213, United States"
NCT01449890,Randomized Trial of Depression Follow-up Care by Email,COMPLETED,The primary objective of this study is to test in a randomized effectiveness trial if e-mail delivered cognitive behavioural treatment is an effective follow-up care approach in the treatment of depression under clinically representative conditions.,Depressive Disorders,BEHAVIORAL: E-mail follow up care,Universitätsklinikum Hamburg-Eppendorf,NA,2012-09,2013-11,"University Medical Center Hamburg-Eppendorf, Centre of Psychosocial Medicine, Department of Medical Psychology, Hamburg, Free and Hanseatic City of Hamburg, 20246, Germany"
NCT04925440,The Effects of Bifidobacterium Longum 1714® in a Population With Low Mood,COMPLETED,"A randomised, double-blind, placebo-controlled clinical trial to evaluate the effect of 8 weeks of supplementation with Bifidobacterium longum 1714® strain on Beck's Depression Inventory-II Score in adults who experience low mood.",Low Mood|Depressive Symptoms,DIETARY_SUPPLEMENT: Bifidobacterium longum 1714® strain|DIETARY_SUPPLEMENT: Placebo,PrecisionBiotics Group Ltd.,NA,2021-09-13,2022-08-19,"Atlantia Food Clinical Trials, Cork, T23 R50R, Ireland"
NCT01537679,Meditation to Reduce Caregiver Stress,COMPLETED,The purpose of this study is to determine whether meditation will reduce stress and depressive of adult caregivers of a person with dementia.,Depression NOS|Major Depressive Disorder|Anxiety NOS,BEHAVIORAL: Kirtan Kriya meditation|BEHAVIORAL: Relaxation,"University of California, Los Angeles",NA,2010-03,2012-01,"UCLA Semel Institute, Los Angeles, California, 90095, United States"
NCT05627154,Combined Antidepressant and Behavioural Intervention,COMPLETED,A body of evidence from both animal and human research suggests that antidepressant drugs may induce early changes in emotional processing that interact with environmental factors to produce a later change in mood. This experimental medicine study will examine the effect of citalopram on emotional cognition under different environmental conditions (as manipulated by the presence or absence of behavioural activation training). Participants will be administered either citalopram or placebo over the course of two weeks. Citalopram will be taken either alone or in combination with behavioural activation training.,Low Mood|Depression|Anxiety,DRUG: Citalopram|BEHAVIORAL: Behavioural Activation|DRUG: Placebo,University of Oxford,NA,2021-05-28,2023-11-17,"Neurosciences Building, Warneford Hospital, Oxford, Oxfordshire, OX3 7JX, United Kingdom"
NCT00841737,Evaluation of a Psychoeducation Group Program for Mild/Moderate Depression,UNKNOWN,"The purpose of this study is to compare the effectiveness and efficiency of doing a psychoeducational group program and the conventional treatment versus individual conventional care in patients with a mild/moderate depression disorder,in urban primary healthcare centers in Barcelona city.",Depressive Disorders,OTHER: Psychoeducational group|OTHER: Control Group,Fundacio d'Investigacio en Atencio Primaria Jordi Gol i Gurina,NA,2008-01,2010-04,"Primary Health Care . Catalan Health Institute (ICS), Barcelona, Barcelona, 08023, Spain|Primary health care. Catalan Health Institute (ICS), Barcelona, Barcelona, 08023, Spain"
NCT07179913,The Improvement of Low-dose Esketamine on Postoperative Depression in Patients Undergoing Bariatric Surgery With Preoperative Depression,ACTIVE_NOT_RECRUITING,"The aim of this study is to observe the antidepressant effect of low-dose esketamine in obese patients with preoperative depression and seeking bariatric surgery. We speculate that intraoperative infusion and the addition of a small dose of esketamine to the postoperative analgesic pump can help reduce the proportion of patients with depression after surgery, and may further improve postoperative recovery, reduce the use of postoperative opioids, shorten postoperative hospital stay, and improve postoperative quality of life of patients.",Depressed|Bariatric Surgery,DRUG: Esketamine|DRUG: Dexmedetomidine,The First Hospital of Jilin University,PHASE4,2026-05-01,2026-11-20,"Zhiwen Li, Changchun, Jilin, 130021, China"
NCT07211984,Evaluation of Dalia Solution For Depressed Patient,NOT_YET_RECRUITING,"The goal of this superiority clinical investigation, prospective, multicenter, controlled, randomized, open-label is to evaluate the clinical impact of the Dalia medical telemonitoring device on the management of depressive patients. The main question it aims to answer is: the percentage of patients with clinically significant improvement at 3 months. A clinically significant improvement is defined as a decrease of at least 5 points from the initial PHQ-9 score AND/OR a PHQ-9 score lower than 15. The threshold of 5 points is the Minimal Clinically Important Difference (MCID) of the PHQ-9 scale",Depression Chronic|Depressed|Depressed Mood|Depression and Quality of Life|Depression Diagnosis,DEVICE: Dalia Monitoring|OTHER: Conventional healthcare,Dalia Care,NA,2025-10-10,2026-03-31,"Neurostim Luxembourg, Paris, 75005, France"
NCT01949571,Clinical Studies on the Therapeutic Effects of Mirtazapine on Drug-craving in Cocaine Addicts.,COMPLETED,"INTRODUCTION. One of the main problems of the treatment of cocaine-dependent patients is the high rate of relapses occurs within the first months after detoxification. In the early withdrawal phase, patients suffer severe anxious depressive symptoms, known in the argot as crash, which occurs in parallel with an appetite overflowed by re-experiencing the effects of the substance, known as craving. Most of the times, these clinical symptoms act as negative reinforcement, which can be severe enough to induce a drug-relapse that greatly hampers the treatment.

TYPE OF STUDY randomized, double-blind, placebo-experimental. GENERAL PURPOSE To determine the efficacy of mirtazapine for the treatment of cocaine dependence. SPECIFIC OBJECTIVES 1) To evaluate the efficacy in the treatment of craving in individuals with cocaine dependence disorder treated with mirtazapine during acute withdrawal phase. 2) Determine the efficacy of reducing anxious depressive symptomatology (Crash) associated with acute withdrawal in subjects with cocaine dependence disorder treated with mirtazapine. 3) Evaluate the maintenance of abstinence in patients with cocaine dependence disorder treated with mirtazapine. 4) Determine the efficacy of mirtazapine in the treatment of subjects dependent on cocaine comorbid with major depressive disorder.

HYPOTHESIS For pharmacokinetics and pharmacodynamics mirtazapine contribute to the reduction in the intensity of withdrawal symptoms in cocaine dependent subjects by acting on the neurochemical circuitry involved in the reward-seeking behavior and has a prolonged effect anticraving. METHOD The attending physician outpatient identifies the Addiction Clinic of the National Institute of Psychiatry who meet the inclusion criteria and invite them to participate voluntarily. If patients accept, send them to the principal investigator for the start of the ratings. Demographics INSTRUMENTS, MINI structured interview, Anxiety and Depression Scale Beck Scale.",Drug-withdrawal.|Drug Abuse|Drug-induced Depressive State|AOD Craving|AODR Depressive State,"DRUG: Mirtazapine (REMERON, Schering-Plough-Organon)",Instituto Nacional de Psiquiatría Dr. Ramón de la Fuente,PHASE2,2007-01,2012-09,"National Institute of Psychiatry, Mexico City, Mexico City, 14370, Mexico"
NCT05433389,App Delivered Brief Mindfulness Intervention for Surgical Patients,ACTIVE_NOT_RECRUITING,"This will be a single-site, five-arm, parallel group randomized control trial involving patients undergoing knee or hip replacement surgery. The investigators will compare five different styles of 5-minute, audio-recoded mindfulness practices delivered via app 7 days before to surgery, 2 days before to surgery, 2 days after surgery, and 6 days after surgery.",Pain|Anxiety State|Depressive State,BEHAVIORAL: Breath Counting|BEHAVIORAL: Body Scan|BEHAVIORAL: Mindful Breathing|BEHAVIORAL: Mindfulness of Pain|BEHAVIORAL: Mindful Savoring,University of Utah,NA,2022-06-21,2025-11-01,"University of Utah, Salt Lake City, Utah, 84112, United States"
